date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20170722,22,7,2017,3,Saturday,29,1,0
20170721,21,7,2017,3,Friday,29,0,0
20170720,20,7,2017,3,Thursday,29,0,0
20170719,19,7,2017,3,Wednesday,29,0,0
20170718,18,7,2017,3,Tuesday,29,0,0
20170717,17,7,2017,3,Monday,29,0,0
20170716,16,7,2017,3,Sunday,28,1,0
20170715,15,7,2017,3,Saturday,28,1,0
20170714,14,7,2017,3,Friday,28,0,0
20170713,13,7,2017,3,Thursday,28,0,0
20170712,12,7,2017,3,Wednesday,28,0,0
20170711,11,7,2017,3,Tuesday,28,0,0
20170710,10,7,2017,3,Monday,28,0,0
20170709,9,7,2017,3,Sunday,27,1,0
20170708,8,7,2017,3,Saturday,27,1,0
20170707,7,7,2017,3,Friday,27,0,0
20170706,6,7,2017,3,Thursday,27,0,0
20170705,5,7,2017,3,Wednesday,27,0,0
20170704,4,7,2017,3,Tuesday,27,0,0
20170703,3,7,2017,3,Monday,27,0,0
20170702,2,7,2017,3,Sunday,26,1,0
20170701,1,7,2017,3,Saturday,26,1,0
20170630,30,6,2017,2,Friday,26,0,0
20170629,29,6,2017,2,Thursday,26,0,0
20170628,28,6,2017,2,Wednesday,26,0,0
20170627,27,6,2017,2,Tuesday,26,0,0
20170626,26,6,2017,2,Monday,26,0,0
20170625,25,6,2017,2,Sunday,25,1,0
20170624,24,6,2017,2,Saturday,25,1,0
20170623,23,6,2017,2,Friday,25,0,0
20170622,22,6,2017,2,Thursday,25,0,0
20170621,21,6,2017,2,Wednesday,25,0,0
20170620,20,6,2017,2,Tuesday,25,0,0
